"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TIMETECHNO","EQ","14-Aug-2024","346.50","348.00","385.80","337.00","382.50","382.35","373.72","1,11,89,059","4,18,15,44,387.55","2,05,617","22,33,931","19.97"
"TIMETECHNO","EQ","16-Aug-2024","382.35","380.00","394.30","377.40","386.40","385.25","385.80","23,22,212","89,59,15,326.40","67,102","7,75,246","33.38"
"TIMETECHNO","EQ","19-Aug-2024","385.25","389.10","403.00","386.05","393.60","392.50","396.37","21,29,095","84,38,99,621.50","55,795","6,36,592","29.90"
"TIMETECHNO","EQ","20-Aug-2024","392.50","394.15","394.20","383.00","391.50","388.90","387.59","8,42,044","32,63,63,908.30","28,477","2,79,985","33.25"
"TIMETECHNO","EQ","21-Aug-2024","388.90","392.10","395.90","388.10","394.50","394.25","392.56","7,53,162","29,56,64,247.30","23,223","2,21,910","29.46"
"TIMETECHNO","EQ","22-Aug-2024","394.25","396.50","399.00","386.00","389.45","388.40","391.06","7,31,962","28,62,41,007.80","22,358","2,64,648","36.16"
"TIMETECHNO","EQ","23-Aug-2024","388.40","389.80","407.65","383.35","400.25","399.00","397.47","20,59,515","81,85,85,874.10","41,097","3,96,419","19.25"
"TIMETECHNO","EQ","26-Aug-2024","399.00","400.95","401.10","385.40","385.60","386.25","390.00","8,14,516","31,76,60,759.90","25,226","3,79,217","46.56"
"TIMETECHNO","EQ","27-Aug-2024","386.25","387.00","394.20","385.20","390.40","391.25","389.32","11,49,083","44,73,59,466.15","20,141","1,53,530","13.36"
"TIMETECHNO","EQ","28-Aug-2024","391.25","392.40","396.75","386.05","388.15","388.55","391.34","7,42,496","29,05,66,647.10","18,907","1,27,062","17.11"
"TIMETECHNO","EQ","29-Aug-2024","388.55","390.00","400.00","380.60","395.00","389.30","387.96","7,78,643","30,20,84,637.40","20,608","2,78,673","35.79"
"TIMETECHNO","EQ","30-Aug-2024","389.30","392.05","403.80","385.35","402.00","400.50","395.17","13,86,121","54,77,50,796.55","30,305","5,15,151","37.16"
